elo,katagoAcc,katagoN,vthreeAcc,vthreeN,vfourAcc,vfourN,actionsAcc,actionsN
-150,0.000000,200.000000,0.000000,129.374382,0.000000,73.727501,0.000000,46.104250
-140,0.000000,200.000000,0.000000,131.648207,0.000000,76.793526,0.000000,48.382413
-130,0.000000,200.000000,0.000000,134.056763,0.000000,80.204839,0.000000,50.934586
-120,0.000001,200.000000,0.000000,136.608033,0.000000,84.123312,0.000000,53.819585
-110,0.000006,200.000000,0.000000,139.310457,0.000000,88.738518,0.000000,57.111669
-100,0.000035,200.000000,0.000002,142.172938,0.000000,94.272892,0.000000,60.907389
-90,0.000174,200.000000,0.000007,145.204743,0.000000,101.000204,0.000000,65.335938
-80,0.000749,200.000000,0.000025,148.415134,0.000000,109.282890,0.000001,70.574543
-70,0.002782,200.000000,0.000090,151.812146,0.000000,119.636835,0.000004,76.870102
-60,0.008932,200.000000,0.000299,155.399116,0.000000,132.842624,0.000014,84.563986
-50,0.024796,200.000000,0.000926,159.165912,0.000003,150.146857,0.000056,94.102432
-40,0.059658,200.000000,0.002663,163.069393,0.000020,173.634469,0.000220,105.988167
-30,0.124831,200.000000,0.007081,166.996000,0.000132,206.781330,0.000853,120.609657
-20,0.228384,200.000000,0.017344,170.703195,0.000828,254.456818,0.003083,137.922592
-10,0.368120,200.000000,0.038914,173.752778,0.004741,319.865225,0.010019,157.085920
0,0.528174,200.000000,0.079580,175.479813,0.022734,396.677886,0.028527,176.294061
10,0.683749,200.000000,0.147755,175.067376,0.084548,463.389141,0.070233,193.025471
20,0.812078,200.000000,0.248596,171.777174,0.233114,492.451448,0.148834,204.686217
30,0.901929,200.000000,0.379343,165.290054,0.472769,470.852148,0.272056,209.366226
40,0.955357,200.000000,0.527163,155.984442,0.725962,410.922540,0.432270,206.386614
50,0.982357,200.000000,0.672317,144.947636,0.898761,339.323255,0.604807,196.467570
60,0.993966,200.000000,0.795770,133.654460,0.974423,276.891661,0.758668,181.489350
70,0.998217,200.000000,0.886546,123.472818,0.995651,230.127108,0.872347,163.916583
80,0.999545,200.000000,0.944197,115.269140,0.999492,196.605381,0.942020,146.089019
90,0.999900,200.000000,0.975814,109.291665,0.999954,172.172620,0.977507,129.677777
100,0.999981,200.000000,0.990791,105.310127,0.999995,153.743604,0.992563,115.510653
110,0.999997,200.000000,0.996926,102.861398,0.999999,139.390758,0.997902,103.731782
120,1.000000,200.000000,0.999101,101.458708,1.000000,127.915926,0.999492,94.097822
130,1.000000,200.000000,0.999770,100.705171,1.000000,118.547372,0.999892,86.231290
140,1.000000,200.000000,0.999948,100.323692,1.000000,110.773584,0.999979,79.764626
150,1.000000,200.000000,0.999990,100.141162,1.000000,104.252205,0.999996,74.394300
160,1.000000,200.000000,0.999998,100.058493,1.000000,98.755415,0.999999,69.887133
170,1.000000,200.000000,1.000000,100.023029,1.000000,94.131518,1.000000,66.069278
180,1.000000,200.000000,1.000000,100.008615,1.000000,90.273564,1.000000,62.812219
190,1.000000,200.000000,1.000000,100.003063,1.000000,87.093164,1.000000,60.020559
200,1.000000,200.000000,1.000000,100.001035,1.000000,84.501475,1.000000,57.622413
210,1.000000,200.000000,1.000000,100.000333,1.000000,82.399640,1.000000,55.562060
220,1.000000,200.000000,1.000000,100.000102,1.000000,80.678626,1.000000,53.794360
230,1.000000,200.000000,1.000000,100.000030,1.000000,79.225766,1.000000,52.280644
240,1.000000,200.000000,1.000000,100.000008,1.000000,77.933950,1.000000,50.985874
250,1.000000,200.000000,1.000000,100.000002,1.000000,76.709862,1.000000,49.876963
